input,output
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link with aria label is buy now. for type of button is a danger. set width to 50% and for mobile is 30%. show the icon with position after the text. icon spacing is 20px and 10px for tablet and mobile. Set height to 100px, tablet 50px and mobile is 80px. set icon size to 60px for dekstop, for tablet is 2em","[{""attributes"":{""content"":""Buy Now"",""buttonType"":""danger"",""buttonWidth"":{""Desktop"":""50"",""Mobile"":""30""},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""},""paddingButton"":{""Desktop"":{},""Tablet"":{},""Mobile"":{}},""showIcon"":true,""iconPosition"":""after"",""iconSpacing"":{""Desktop"":""20"",""Tablet"":""10""},""ariaLabel"":""Buy Now"",""buttonHeight"":{""Desktop"":""100"",""Tablet"":""50"",""Mobile"":""80""},""iconSize"":{""Tablet"":{""unit"":""em"",""point"":""2""},""Desktop"":{""point"":""60"",""unit"":""px""}}},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link with aria label is buy now. for type of button is a danger. set width to 50% and for mobile is 30%. show the icon with position after the text. icon spacing is 20px and 10px for tablet and mobile. Set height to 100px, tablet 50px and mobile is 80px. set icon size to 60px for dekstop, for tablet is 2em. add 100px padding to button.","[{""attributes"":{""content"":""Buy Now"",""buttonType"":""danger"",""buttonWidth"":{""Desktop"":""50"",""Mobile"":""30""},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""},""paddingButton"":{""Desktop"":{""unit"":""px"",""dimension"":{""top"":""100"",""right"":""100"",""bottom"":""100"",""left"":""100""}},""Tablet"":{},""Mobile"":{}},""showIcon"":true,""iconPosition"":""after"",""iconSpacing"":{""Desktop"":""20"",""Tablet"":""10""},""ariaLabel"":""Buy Now"",""buttonHeight"":{""Desktop"":""100"",""Tablet"":""50"",""Mobile"":""80""},""iconSize"":{""Tablet"":{""unit"":""em"",""point"":""2""},""Desktop"":{""point"":""60"",""unit"":""px""}}},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link with aria label is buy now. for type of button is a danger. show the icon with position after the text. icon spacing is 20px and 10px for tablet and mobile. set icon size to 60px for dekstop, for tablet is 2em. add button padding 50px fr top and bottom and 20px for left and right","[{""attributes"":{""content"":""Buy Now"",""buttonType"":""danger"",""buttonWidth"":{""Desktop"":"""",""Mobile"":""""},""buttonHeight"":{""Desktop"":"""",""Tablet"":"""",""Mobile"":""""},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""},""paddingButton"":{""Desktop"":{""unit"":""px"",""dimension"":{""top"":""50"",""right"":""20"",""bottom"":""50"",""left"":""20""}},""Tablet"":{},""Mobile"":{}},""showIcon"":true,""iconPosition"":""after"",""iconSpacing"":{""Desktop"":""20"",""Tablet"":""10""},""iconSize"":{""Tablet"":{""unit"":""em"",""point"":""2""},""Desktop"":{""point"":""60"",""unit"":""px""}},""ariaLabel"":""Buy Now""},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link with aria label is buy now. for type of button is a danger. show the icon with position after the text. icon spacing is 20px and 10px for tablet and mobile. set icon size to 60px for dekstop, for tablet is 2em. add button padding 5em fr top and bottom and 2em for left and right","[{""attributes"":{""content"":""Buy Now"",""buttonType"":""danger"",""buttonWidth"":{""Desktop"":"""",""Mobile"":""""},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""},""paddingButton"":{""Desktop"":{""unit"":""em"",""dimension"":{""top"":""5"",""right"":""2"",""bottom"":""5"",""left"":""2""}},""Tablet"":{},""Mobile"":{}},""showIcon"":true,""iconPosition"":""after"",""iconSpacing"":{""Desktop"":""20"",""Tablet"":""10""},""ariaLabel"":""Buy Now"",""buttonHeight"":{""Desktop"":"""",""Tablet"":"""",""Mobile"":""""},""iconSize"":{""Tablet"":{""unit"":""em"",""point"":""2""},""Desktop"":{""point"":""60"",""unit"":""px""}}},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link with aria label is buy now. for type of button is a danger. show the icon with position after the text. icon spacing is 20px and 10px for tablet and mobile. set icon size to 60px for dekstop, for tablet is 2em. add button padding 5%","[{""attributes"":{""content"":""Buy Now"",""buttonType"":""danger"",""buttonWidth"":{""Desktop"":"""",""Mobile"":""""},""buttonHeight"":{""Desktop"":"""",""Tablet"":"""",""Mobile"":""""},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""},""paddingButton"":{""Desktop"":{""unit"":""%"",""dimension"":{""top"":""5"",""right"":""5"",""bottom"":""5"",""left"":""5""}},""Tablet"":{},""Mobile"":{}},""showIcon"":true,""iconPosition"":""after"",""iconSpacing"":{""Desktop"":""20"",""Tablet"":""10""},""iconSize"":{""Tablet"":{""unit"":""em"",""point"":""2""},""Desktop"":{""point"":""60"",""unit"":""px""}},""ariaLabel"":""Buy Now""},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link with aria label is buy now. for type of button is a danger. show the icon with position after the text. icon spacing is 20px and 10px for tablet and mobile. set icon size to 60px for dekstop, for tablet is 2em. add button padding 5rem","[{""attributes"":{""content"":""Buy Now"",""buttonType"":""danger"",""buttonWidth"":{""Desktop"":"""",""Mobile"":""""},""buttonHeight"":{""Desktop"":"""",""Tablet"":"""",""Mobile"":""""},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""},""paddingButton"":{""Desktop"":{""unit"":""rem"",""dimension"":{""top"":""5"",""right"":""5"",""bottom"":""5"",""left"":""5""}},""Tablet"":{},""Mobile"":{}},""showIcon"":true,""iconPosition"":""after"",""iconSpacing"":{""Desktop"":""20"",""Tablet"":""10""},""iconSize"":{""Tablet"":{""unit"":""em"",""point"":""2""},""Desktop"":{""point"":""60"",""unit"":""px""}},""ariaLabel"":""Buy Now""},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link with aria label is buy now. for type of button is a danger. show the icon with position after the text. icon spacing is 20px and 10px for tablet and mobile. set icon size to 60px for dekstop, for tablet is 2em. add button padding 5rem. remove icon line height","[{""attributes"":{""content"":""Buy Now"",""buttonType"":""danger"",""buttonWidth"":{""Desktop"":"""",""Mobile"":""""},""buttonHeight"":{""Desktop"":"""",""Tablet"":"""",""Mobile"":""""},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""},""paddingButton"":{""Desktop"":{""unit"":""rem"",""dimension"":{""top"":""5"",""right"":""5"",""bottom"":""5"",""left"":""5""}},""Tablet"":{},""Mobile"":{}},""showIcon"":true,""iconPosition"":""after"",""iconSpacing"":{""Desktop"":""20"",""Tablet"":""10""},""iconSize"":{""Tablet"":{""unit"":""em"",""point"":""2""},""Desktop"":{""point"":""60"",""unit"":""px""}},""ariaLabel"":""Buy Now"",""iconLineHeight"":true},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link with aria label is buy now. for type of button is a danger. show the icon with position after the text. icon spacing is 20px and 10px for tablet and mobile. set icon size to 60px for dekstop, for tablet is 2em. add button padding 5rem. remove icon line height. hide this button for dekstop","[{""attributes"":{""content"":""Buy Now"",""buttonType"":""danger"",""buttonWidth"":{""Desktop"":"""",""Mobile"":""""},""buttonHeight"":{""Desktop"":"""",""Tablet"":"""",""Mobile"":""""},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""},""paddingButton"":{""Desktop"":{""unit"":""rem"",""dimension"":{""top"":""5"",""right"":""5"",""bottom"":""5"",""left"":""5""}},""Tablet"":{},""Mobile"":{}},""showIcon"":true,""iconPosition"":""after"",""iconSpacing"":{""Desktop"":""20"",""Tablet"":""10""},""iconSize"":{""Tablet"":{""unit"":""em"",""point"":""2""},""Desktop"":{""point"":""60"",""unit"":""px""}},""ariaLabel"":""Buy Now"",""iconLineHeight"":true,""hideDesktop"":true},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link with aria label is buy now. for type of button is a danger. show the icon with position after the text. icon spacing is 20px and 10px for tablet and mobile. set icon size to 60px for dekstop, for tablet is 2em. add button padding 5rem. remove icon line height. show this button only for dekstop","[{""attributes"":{""content"":""Buy Now"",""buttonType"":""danger"",""buttonWidth"":{""Desktop"":"""",""Mobile"":""""},""buttonHeight"":{""Desktop"":"""",""Tablet"":"""",""Mobile"":""""},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""},""paddingButton"":{""Desktop"":{""unit"":""rem"",""dimension"":{""top"":""5"",""right"":""5"",""bottom"":""5"",""left"":""5""}},""Tablet"":{},""Mobile"":{}},""showIcon"":true,""iconPosition"":""after"",""iconSpacing"":{""Desktop"":""20"",""Tablet"":""10""},""iconSize"":{""Tablet"":{""unit"":""em"",""point"":""2""},""Desktop"":{""point"":""60"",""unit"":""px""}},""ariaLabel"":""Buy Now"",""iconLineHeight"":true,""hideDesktop"":false,""hideTablet"":true,""hideMobile"":true},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link with aria label is buy now. for type of button is a danger. show the icon with position after the text. icon spacing is 20px and 10px for tablet and mobile. set icon size to 60px for dekstop, for tablet is 2em. add button padding 5rem. remove icon line height. make the color for text like green color","[{""attributes"":{""content"":""Buy Now"",""buttonType"":""danger"",""buttonWidth"":{""Desktop"":"""",""Mobile"":""""},""buttonHeight"":{""Desktop"":"""",""Tablet"":"""",""Mobile"":""""},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""},""paddingButton"":{""Desktop"":{""unit"":""rem"",""dimension"":{""top"":""5"",""right"":""5"",""bottom"":""5"",""left"":""5""}},""Tablet"":{},""Mobile"":{}},""showIcon"":true,""iconPosition"":""after"",""iconSpacing"":{""Desktop"":""20"",""Tablet"":""10""},""iconSize"":{""Tablet"":{""unit"":""em"",""point"":""2""},""Desktop"":{""point"":""60"",""unit"":""px""}},""hideDesktop"":false,""hideTablet"":false,""hideMobile"":false,""ariaLabel"":""Buy Now"",""iconLineHeight"":true,""buttonBorder"":{""radius"":{""Desktop"":{}}},""color"":{""r"":0,""g"":255,""b"":140,""a"":1}},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link with aria label is buy now. for type of button is a danger. show the icon with position after the text. icon spacing is 20px and 10px for tablet and mobile. set icon size to 60px for dekstop, for tablet is 2em. add button padding 5rem. remove icon line height. make the color for text like green color and the icon color is #04FF00.","[{""attributes"":{""content"":""Buy Now"",""buttonType"":""danger"",""buttonWidth"":{""Desktop"":"""",""Mobile"":""""},""buttonHeight"":{""Desktop"":"""",""Tablet"":"""",""Mobile"":""""},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""},""paddingButton"":{""Desktop"":{""unit"":""rem"",""dimension"":{""top"":""5"",""right"":""5"",""bottom"":""5"",""left"":""5""}},""Tablet"":{},""Mobile"":{}},""showIcon"":true,""iconPosition"":""after"",""iconSpacing"":{""Desktop"":""20"",""Tablet"":""10""},""iconSize"":{""Tablet"":{""unit"":""em"",""point"":""2""},""Desktop"":{""point"":""60"",""unit"":""px""}},""hideDesktop"":false,""hideTablet"":false,""hideMobile"":false,""ariaLabel"":""Buy Now"",""iconLineHeight"":true,""buttonBorder"":{""radius"":{""Desktop"":{}}},""color"":{""r"":0,""g"":255,""b"":140,""a"":1},""iconColor"":{""r"":4,""g"":255,""b"":0,""a"":1}},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link with aria label is buy now. for type of button is a danger. show the icon with position after the text. icon spacing is 20px and 10px for tablet and mobile. set icon size to 60px for dekstop, for tablet is 2em. add button padding 5rem. remove icon line height. make the color for text like green color and the icon color is #04FF00 and when hover the all color for text and icon is yellow.","[{""attributes"":{""content"":""Buy Now"",""buttonType"":""danger"",""buttonWidth"":{""Desktop"":"""",""Mobile"":""""},""buttonHeight"":{""Desktop"":"""",""Tablet"":"""",""Mobile"":""""},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""},""paddingButton"":{""Desktop"":{""unit"":""rem"",""dimension"":{""top"":""5"",""right"":""5"",""bottom"":""5"",""left"":""5""}},""Tablet"":{},""Mobile"":{}},""buttonBorder"":{""radius"":{""Desktop"":{}}},""showIcon"":true,""iconPosition"":""after"",""iconSpacing"":{""Desktop"":""20"",""Tablet"":""10""},""iconSize"":{""Tablet"":{""unit"":""em"",""point"":""2""},""Desktop"":{""point"":""60"",""unit"":""px""}},""hideDesktop"":false,""hideTablet"":false,""hideMobile"":false,""color"":{""r"":0,""g"":255,""b"":140,""a"":1},""iconColor"":{""r"":4,""g"":255,""b"":0,""a"":1},""hoverIconColor"":{""r"":255,""g"":237,""b"":0,""a"":1},""hoverTextColor"":{""r"":255,""g"":237,""b"":0,""a"":1},""ariaLabel"":""Buy Now"",""iconLineHeight"":true},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link with aria label is buy now. for type of button is a danger. show the icon with position after the text. icon spacing is 20px and 10px for tablet and mobile. set icon size to 60px for dekstop, for tablet is 2em. add button padding 5rem. remove icon line height. make the color for text like green color and the icon color is secondary variable and when hover the all color for text and icon is yellow.","[{""attributes"":{""content"":""Buy Now"",""buttonType"":""danger"",""buttonWidth"":{""Desktop"":"""",""Mobile"":""""},""buttonHeight"":{""Desktop"":"""",""Tablet"":"""",""Mobile"":""""},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""},""paddingButton"":{""Desktop"":{""unit"":""rem"",""dimension"":{""top"":""5"",""right"":""5"",""bottom"":""5"",""left"":""5""}},""Tablet"":{},""Mobile"":{}},""buttonBorder"":{""radius"":{""Desktop"":{}}},""showIcon"":true,""iconPosition"":""after"",""iconSpacing"":{""Desktop"":""20"",""Tablet"":""10""},""iconSize"":{""Tablet"":{""unit"":""em"",""point"":""2""},""Desktop"":{""point"":""60"",""unit"":""px""}},""hideDesktop"":false,""hideTablet"":false,""hideMobile"":false,""color"":{""r"":0,""g"":255,""b"":140,""a"":1},""iconColor"":{""type"":""variable"",""id"":""secondary""},""hoverIconColor"":{""r"":255,""g"":237,""b"":0,""a"":1},""hoverTextColor"":{""r"":255,""g"":237,""b"":0,""a"":1},""ariaLabel"":""Buy Now"",""iconLineHeight"":true},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link with aria label is buy now. for type of button is a danger. show the icon with position after the text. icon spacing is 20px and 10px for tablet and mobile. set icon size to 60px for dekstop, for tablet is 2em. add button padding 5rem. remove icon line height. make the color for text like green color and the icon color is secondary variable and when hover the all color for text and icon is yellow. for typography, make it a random styles.","[{""attributes"":{""content"":""Buy Now"",""buttonType"":""danger"",""buttonWidth"":{""Desktop"":"""",""Mobile"":""""},""buttonHeight"":{""Desktop"":"""",""Tablet"":"""",""Mobile"":""""},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""},""paddingButton"":{""Desktop"":{""unit"":""rem"",""dimension"":{""top"":""5"",""right"":""5"",""bottom"":""5"",""left"":""5""}},""Tablet"":{},""Mobile"":{}},""buttonBorder"":{""radius"":{""Desktop"":{}}},""showIcon"":true,""iconPosition"":""after"",""iconSpacing"":{""Desktop"":""20"",""Tablet"":""10""},""iconSize"":{""Tablet"":{""unit"":""em"",""point"":""2""},""Desktop"":{""point"":""60"",""unit"":""px""}},""hideDesktop"":false,""hideTablet"":false,""hideMobile"":false,""color"":{""r"":0,""g"":255,""b"":140,""a"":1},""iconColor"":{""type"":""variable"",""id"":""secondary""},""hoverIconColor"":{""r"":255,""g"":237,""b"":0,""a"":1},""hoverTextColor"":{""r"":255,""g"":237,""b"":0,""a"":1},""ariaLabel"":""Buy Now"",""iconLineHeight"":true,""typography"":{""font"":{""label"":""Aclonica"",""value"":""Aclonica"",""type"":""google""},""size"":{""Desktop"":{""point"":""20"",""unit"":""px""}},""lineHeight"":{""Desktop"":{""point"":""0"",""unit"":""px""}},""weight"":""normal"",""transform"":""uppercase"",""decoration"":""underline"",""style"":""italic"",""spacing"":{""Desktop"":""1.4""}}},""name"":""gutenverse/button""}]"
